train_acc,train_loss,val_acc,val_loss
0.05810526315789474,4.1580243,0.09480000000000001,3.9180326
0.1076,3.741539,0.128,3.5696583
0.16014736842105262,3.4169054,0.18040000000000003,3.3170702
0.2223368421052632,3.0787156,0.25799999999999995,2.8924048
0.2759789473684211,2.791545,0.30079999999999996,2.6764166
0.3232631578947368,2.565424,0.33599999999999997,2.4825742
0.35835789473684204,2.3900714,0.38,2.3092866
0.39311578947368425,2.2392864,0.4012,2.1912994
0.42050526315789477,2.118972,0.4204,2.1378386
0.4476421052631579,2.014147,0.4276,2.0768235
0.46707368421052636,1.9280528,0.4464,1.9865425
0.4862105263157895,1.8487097,0.4592,1.9924557
0.5017684210526316,1.7827275,0.4628,1.920959
0.5174526315789474,1.7204038,0.47320000000000007,1.9031316
0.5281894736842105,1.6669589,0.49360000000000004,1.828519
0.540357894736842,1.6217833,0.5012,1.8018585
0.5497894736842105,1.5799594,0.49920000000000003,1.7891443
0.559978947368421,1.5405735,0.5252,1.7344552
0.5714526315789473,1.4968269,0.5252,1.7375141
0.5774947368421053,1.4686662,0.52,1.7317669
0.5854526315789474,1.4346417,0.5336,1.7108352
0.5998315789473684,1.3948905,0.536,1.7151724
0.6,1.3757128,0.5379999999999999,1.7307755
0.6105263157894737,1.3474238,0.5372,1.6967936
0.6144631578947368,1.322572,0.5247999999999999,1.6861806
0.6224842105263156,1.2937671,0.5352,1.6681032
0.6269263157894738,1.2672281,0.5451999999999999,1.6538537
0.6333052631578947,1.2482152,0.5468,1.6724788
0.6398947368421053,1.2224154,0.5548000000000001,1.645314
0.6447368421052632,1.2041148,0.5536,1.6792299
0.6534526315789473,1.1724861,0.5636,1.6023151
0.6550105263157895,1.1575968,0.5668,1.6204674
0.6613473684210526,1.1396824,0.5536,1.6699393
0.6661473684210527,1.119657,0.5608,1.6245799
0.672778947368421,1.0992686,0.564,1.6282887
0.6791368421052633,1.0753254,0.5591999999999999,1.6449904
0.6798315789473683,1.0612922,0.5771999999999999,1.6063995
0.6861263157894736,1.0484986,0.5688,1.5806189
0.6919368421052631,1.0214318,0.5723999999999999,1.6637646
0.6967368421052631,1.00954,0.5736,1.6323832
0.6993894736842106,0.9968885,0.5828,1.5991347
0.7058105263157894,0.9695809,0.5788,1.678247
0.7089052631578947,0.96067923,0.5763999999999999,1.6369075
0.7124842105263157,0.9409187,0.5792,1.6129373
0.717957894736842,0.92202914,0.5831999999999999,1.6394442
0.7196210526315788,0.92138773,0.5720000000000001,1.6702734
0.725221052631579,0.895247,0.5732,1.6837105
0.729178947368421,0.8799684,0.5816,1.6541321
0.7325684210526315,0.86644095,0.5771999999999999,1.6636561
0.7382105263157894,0.8531201,0.5808000000000001,1.6471317
0.7387789473684211,0.8434155,0.5644,1.7259673
0.7481684210526316,0.81382036,0.5852,1.6913704
0.7497052631578948,0.8089759,0.5780000000000001,1.7140318
0.7540842105263158,0.7925587,0.588,1.6788434
0.7585473684210526,0.77858496,0.5792,1.6966766
0.7589473684210526,0.7747162,0.5832,1.6894505
0.7641684210526316,0.75672793,0.592,1.6977729
0.7663157894736842,0.7433374,0.5856,1.7175305
0.7718105263157895,0.7272917,0.5856,1.7142047
0.7776631578947368,0.7101537,0.5916,1.7049114
0.7819157894736842,0.69571674,0.5856000000000001,1.7220771
0.7851157894736842,0.6852775,0.588,1.7385107
0.7873894736842105,0.6774688,0.586,1.7563233
0.7923157894736841,0.6613161,0.5924,1.7371823
0.7950315789473684,0.64893806,0.5924,1.7473315
0.7970315789473683,0.6416419,0.5940000000000001,1.728788
0.8027578947368421,0.6277864,0.5928,1.7632407
0.8023157894736841,0.6219995,0.5908000000000001,1.755197
0.8064842105263158,0.61160296,0.5936,1.7640412
0.8083789473684211,0.60112923,0.5871999999999999,1.7886168
0.8144631578947369,0.5884921,0.5923999999999999,1.7891791
0.8149894736842105,0.58541405,0.5904,1.7939016
0.8171999999999999,0.5765643,0.5864,1.8201365
0.8194947368421053,0.5656477,0.5908,1.7984942
0.8199157894736842,0.56174725,0.5976,1.7787241
0.8249684210526316,0.5507186,0.5935999999999999,1.8075697
0.8254736842105264,0.5412097,0.5892000000000001,1.8243592
0.8284,0.53029495,0.5908,1.8378808
0.8328421052631579,0.52462614,0.586,1.8481334
0.832021052631579,0.5229503,0.5848,1.8437027
0.8343157894736842,0.5224836,0.5912,1.8309647
0.8390947368421052,0.50690585,0.5936,1.8178973
0.8393684210526315,0.50182587,0.594,1.8338614
0.8437894736842105,0.49284482,0.5940000000000001,1.8310294
0.8440210526315789,0.4923266,0.5880000000000001,1.8476065
0.8461684210526316,0.48458996,0.5928,1.8564448
0.8475578947368422,0.47946662,0.5880000000000001,1.8503487
0.8473263157894736,0.47575048,0.5876,1.8779831
0.8488842105263158,0.47402647,0.5871999999999999,1.8681678
0.8494736842105263,0.47065577,0.5888,1.8598175
0.849621052631579,0.46959278,0.5871999999999999,1.8698136
0.8509684210526317,0.46572343,0.5888,1.866696
0.8505052631578947,0.46590188,0.5915999999999999,1.8843418
0.8523999999999999,0.4619329,0.5936,1.8775433
0.8561052631578947,0.4525431,0.5896,1.8847786
0.8537052631578947,0.4572074,0.5883999999999999,1.8753489
0.8522947368421053,0.46134728,0.5832,1.8874767
0.8529052631578947,0.45687947,0.5884,1.8897322
0.8549894736842105,0.45092574,0.5884,1.8862808
0.854778947368421,0.4550629,0.5883999999999999,1.8838205
